image_index,width,height,aspect_ratio,total_pixels,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,brightness,num_positive_attributes,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,Has_Facial_Hair,Uses_Makeup,Wears_Accessories
0,178,218,0.8165137614678899,38804,181.0281671992578,137.05280383465623,109.725234511906,74.0976101827282,78.7775036613151,71.72834646274015,142.60206851527334,13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
1,178,218,0.8165137614678899,38804,131.63588805277806,112.8517420884445,107.45271106071539,60.405969557546555,59.8450818623976,59.30694422455275,117.31344706731265,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,178,218,0.8165137614678899,38804,147.36952376043706,134.6334656221008,126.59883001752397,55.44310928463242,56.024052962986566,60.599144069062305,136.20060646668728,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,178,218,0.8165137614678899,38804,89.65122152355427,65.8505824141841,50.14238222863622,87.78244496691312,65.4010834248481,52.24143486945524,68.5480620554582,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1
4,178,218,0.8165137614678899,38804,162.81762189465005,160.04009895887023,151.68866611689518,57.862494760607746,61.45322578209673,65.33023360692745,158.1821289901385,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
5,178,218,0.8165137614678899,38804,164.90655602515204,144.69456757035357,127.91477682713122,74.27848996888817,80.83923018156406,89.4306939183306,145.8386334742123,11,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
6,178,218,0.8165137614678899,38804,172.3562003917122,153.2084578909391,142.72041542109062,68.489582191233,72.0235305242918,76.20255672380556,156.09502456791395,12,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
7,178,218,0.8165137614678899,38804,96.15423667663127,84.4516802391506,79.72219358828987,75.42082396729458,65.0629955692583,60.13065337996501,86.77603683469057,9,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,178,218,0.8165137614678899,38804,122.78301206061231,98.09215544789197,76.77022987320895,68.2321957501869,63.78435170658696,62.171856515152456,99.21513246057107,15,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1
9,178,218,0.8165137614678899,38804,98.7841717348727,80.5142768786723,76.48580043294506,72.34468796584562,62.0224352409218,58.645765588512,85.26141634883002,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
